,CarrierDel,CarrierID,Delays,LateAircraftDel,Month,NASDel,NumFlights,SecurityDel,WeatherDel,Year
0,1973.0,9E,3626.0,1731.0,1,2402.0,23658,11.0,223.0,2013
1,4227.0,AA,8394.0,4026.0,1,4456.0,44848,24.0,679.0,2013
2,518.0,AS,1071.0,410.0,1,1078.0,12020,8.0,71.0,2013
3,2701.0,B6,3880.0,1951.0,1,2365.0,19291,30.0,61.0,2013
4,3249.0,DL,5927.0,2236.0,1,4288.0,57182,5.0,508.0,2013
5,7354.0,EV,13836.0,8219.0,1,8269.0,57934,13.0,458.0,2013
6,980.0,F9,1461.0,746.0,1,1245.0,5804,0.0,28.0,2013
7,428.0,FL,1254.0,556.0,1,1032.0,15313,0.0,21.0,2013
8,394.0,HA,303.0,192.0,1,8.0,5982,4.0,13.0,2013
9,2654.0,MQ,7216.0,4415.0,1,5144.0,37693,5.0,1609.0,2013
10,3680.0,OO,8572.0,6043.0,1,6009.0,51762,30.0,408.0,2013
11,3628.0,UA,6756.0,2444.0,1,4080.0,40419,14.0,351.0,2013
12,2637.0,US,3685.0,1731.0,1,3809.0,33567,60.0,234.0,2013
13,95.0,VX,265.0,73.0,1,121.0,4230,2.0,81.0,2013
14,7740.0,WN,15452.0,8305.0,1,5855.0,89169,119.0,451.0,2013
15,550.0,YV,1502.0,932.0,1,1102.0,10647,2.0,80.0,2013
16,1553.0,9E,3152.0,1543.0,2,2445.0,21309,20.0,201.0,2013
17,3682.0,AA,7891.0,3937.0,2,4059.0,40792,3.0,862.0,2013
18,349.0,AS,759.0,275.0,2,609.0,10895,14.0,44.0,2013
19,3222.0,B6,4258.0,2499.0,2,2885.0,17767,21.0,76.0,2013
20,3358.0,DL,6008.0,2373.0,2,4127.0,52862,2.0,386.0,2013
21,7448.0,EV,13404.0,8333.0,2,8214.0,54106,25.0,338.0,2013
22,905.0,F9,1394.0,784.0,2,1271.0,5261,0.0,48.0,2013
23,581.0,FL,1556.0,777.0,2,1337.0,14069,0.0,26.0,2013
24,391.0,HA,305.0,205.0,2,8.0,5430,0.0,4.0,2013
25,2538.0,MQ,7375.0,4640.0,2,5275.0,33627,4.0,1764.0,2013
26,2994.0,OO,7187.0,4957.0,2,4783.0,47758,16.0,289.0,2013
27,3531.0,UA,6519.0,2619.0,2,3812.0,38116,8.0,432.0,2013
28,2520.0,US,3442.0,1700.0,2,3675.0,31177,35.0,170.0,2013
29,168.0,VX,402.0,122.0,2,160.0,3758,0.0,95.0,2013
30,6617.0,WN,13334.0,7375.0,2,5042.0,83115,75.0,481.0,2013
31,464.0,YV,1299.0,772.0,2,704.0,9704,14.0,49.0,2013
32,786.0,9E,3910.0,738.0,3,3828.0,27041,4.0,58.0,2013
33,3783.0,AA,7948.0,3916.0,3,4172.0,45602,9.0,690.0,2013
34,565.0,AS,1346.0,581.0,3,1255.0,12698,41.0,48.0,2013
35,3743.0,B6,5201.0,3097.0,3,3419.0,20842,43.0,180.0,2013
36,4805.0,DL,8556.0,3431.0,3,5221.0,63929,1.0,529.0,2013
37,8412.0,EV,16027.0,9646.0,3,8552.0,65803,15.0,369.0,2013
38,820.0,F9,1325.0,742.0,3,1208.0,5899,0.0,53.0,2013
39,894.0,FL,3023.0,1727.0,3,2309.0,16882,0.0,63.0,2013
40,484.0,HA,331.0,257.0,3,6.0,6000,4.0,8.0,2013
41,2532.0,MQ,6423.0,3737.0,3,4495.0,36854,1.0,1236.0,2013
42,3614.0,OO,8877.0,6107.0,3,4967.0,55648,18.0,284.0,2013
43,4531.0,UA,8402.0,3459.0,3,4353.0,44062,15.0,386.0,2013
44,3017.0,US,4426.0,2141.0,3,4066.0,36210,70.0,241.0,2013
45,189.0,VX,517.0,168.0,3,268.0,4303,4.0,141.0,2013
46,10891.0,WN,21048.0,13217.0,3,8432.0,99142,145.0,780.0,2013
47,536.0,YV,1594.0,1047.0,3,1146.0,11397,8.0,77.0,2013
48,1969.0,9E,3934.0,2018.0,4,2451.0,26125,10.0,239.0,2013
49,5040.0,AA,10656.0,6103.0,4,6454.0,44265,3.0,919.0,2013
50,512.0,AS,1111.0,482.0,4,1224.0,12571,11.0,37.0,2013
51,3294.0,B6,4938.0,2839.0,4,3388.0,20036,55.0,113.0,2013
52,4633.0,DL,8361.0,3542.0,4,5314.0,62291,8.0,485.0,2013
53,7994.0,EV,15931.0,9973.0,4,9383.0,64366,10.0,464.0,2013
54,801.0,F9,1519.0,904.0,4,1544.0,5881,0.0,60.0,2013
55,864.0,FL,2553.0,1272.0,4,1929.0,15911,0.0,37.0,2013
56,342.0,HA,261.0,168.0,4,10.0,5789,1.0,4.0,2013
57,3135.0,MQ,9380.0,6289.0,4,6733.0,37211,6.0,1925.0,2013
58,3153.0,OO,8241.0,5771.0,4,5410.0,53069,21.0,246.0,2013
59,4885.0,UA,9177.0,4137.0,4,5840.0,41430,19.0,367.0,2013
60,3085.0,US,4291.0,2111.0,4,4475.0,34433,46.0,118.0,2013
61,301.0,VX,853.0,311.0,4,482.0,4554,5.0,198.0,2013
62,11338.0,WN,22067.0,14992.0,4,9657.0,97198,198.0,876.0,2013
63,593.0,YV,1942.0,1451.0,4,1490.0,11263,6.0,31.0,2013
64,1946.0,9E,3921.0,1906.0,5,2461.0,25750,14.0,211.0,2013
65,4754.0,AA,9661.0,5366.0,5,5882.0,45703,10.0,876.0,2013
66,440.0,AS,900.0,366.0,5,977.0,13067,7.0,35.0,2013
67,2171.0,B6,3647.0,1803.0,5,2418.0,20262,25.0,123.0,2013
68,4591.0,DL,8100.0,3418.0,5,5170.0,64087,3.0,394.0,2013
69,7251.0,EV,14493.0,8740.0,5,8581.0,64741,18.0,442.0,2013
70,796.0,F9,1496.0,902.0,5,1380.0,6586,0.0,58.0,2013
71,883.0,FL,2547.0,1091.0,5,1578.0,15789,0.0,47.0,2013
72,415.0,HA,318.0,219.0,5,6.0,6025,4.0,4.0,2013
73,3477.0,MQ,9597.0,6294.0,5,6411.0,38335,4.0,1705.0,2013
74,2984.0,OO,7853.0,5340.0,5,4665.0,53908,36.0,223.0,2013
75,4297.0,UA,8535.0,3435.0,5,5220.0,42992,13.0,330.0,2013
76,2982.0,US,4131.0,1944.0,5,4442.0,35397,39.0,234.0,2013
77,402.0,VX,1010.0,417.0,5,524.0,5128,6.0,310.0,2013
78,12260.0,WN,22917.0,14845.0,5,8946.0,98821,114.0,970.0,2013
79,877.0,YV,2507.0,1556.0,5,1707.0,12051,17.0,81.0,2013
80,2743.0,9E,5330.0,2990.0,6,3244.0,26055,20.0,400.0,2013
81,5900.0,AA,12930.0,7708.0,6,6498.0,45263,11.0,1599.0,2013
82,625.0,AS,1264.0,582.0,6,1208.0,13998,10.0,41.0,2013
83,3485.0,B6,5682.0,3469.0,6,3801.0,20643,41.0,221.0,2013
84,8423.0,DL,14474.0,7167.0,6,9105.0,66227,7.0,1185.0,2013
85,9174.0,EV,19570.0,12094.0,6,10435.0,66069,21.0,950.0,2013
86,740.0,F9,1263.0,727.0,6,1131.0,6571,0.0,67.0,2013
87,1551.0,FL,4797.0,2451.0,6,3015.0,15761,0.0,217.0,2013
88,370.0,HA,337.0,207.0,6,11.0,6320,1.0,0.0,2013
89,4143.0,MQ,12024.0,8214.0,6,7663.0,37701,6.0,2537.0,2013
90,3990.0,OO,10242.0,7188.0,6,5678.0,54378,16.0,370.0,2013
91,6591.0,UA,12239.0,5999.0,6,6723.0,43550,17.0,694.0,2013
92,4540.0,US,6678.0,3389.0,6,5953.0,34930,75.0,735.0,2013
93,582.0,VX,1414.0,639.0,6,738.0,5105,12.0,243.0,2013
94,15327.0,WN,28488.0,19333.0,6,10872.0,97405,148.0,1509.0,2013
95,934.0,YV,2917.0,1820.0,6,1998.0,12165,31.0,261.0,2013
96,2990.0,9E,5819.0,3080.0,7,3225.0,26813,11.0,374.0,2013
97,5545.0,AA,11259.0,6386.0,7,5960.0,47225,4.0,909.0,2013
98,702.0,AS,1492.0,793.0,7,1665.0,14762,29.0,45.0,2013
99,4693.0,B6,7070.0,4731.0,7,4535.0,22146,84.0,334.0,2013
100,9142.0,DL,15986.0,8240.0,7,10024.0,69175,4.0,1254.0,2013
101,9059.0,EV,18477.0,11153.0,7,10472.0,67011,30.0,954.0,2013
102,1054.0,F9,1698.0,1074.0,7,1584.0,6816,0.0,51.0,2013
103,1445.0,FL,4586.0,2272.0,7,2815.0,16293,0.0,206.0,2013
104,309.0,HA,279.0,155.0,7,18.0,6646,0.0,9.0,2013
105,5526.0,MQ,12215.0,8306.0,7,7587.0,39150,6.0,1122.0,2013
106,3714.0,OO,10609.0,7431.0,7,5748.0,56077,14.0,330.0,2013
107,5868.0,UA,11696.0,5372.0,7,6454.0,44777,11.0,544.0,2013
108,4588.0,US,6364.0,3284.0,7,6164.0,35882,76.0,567.0,2013
109,623.0,VX,1550.0,684.0,7,776.0,5332,7.0,172.0,2013
110,13491.0,WN,25307.0,16762.0,7,10153.0,100309,136.0,1194.0,2013
111,1121.0,YV,2859.0,1811.0,7,2166.0,13209,22.0,86.0,2013
112,1966.0,9E,3838.0,1746.0,8,2001.0,27095,10.0,178.0,2013
113,4127.0,AA,8338.0,4205.0,8,4098.0,46924,13.0,483.0,2013
114,708.0,AS,1357.0,699.0,8,1638.0,14544,33.0,69.0,2013
115,3757.0,B6,5541.0,3469.0,8,3505.0,21992,92.0,125.0,2013
116,5495.0,DL,9672.0,4386.0,8,5839.0,69327,3.0,466.0,2013
117,6615.0,EV,14049.0,7948.0,8,7311.0,66234,13.0,458.0,2013
118,1041.0,F9,1508.0,937.0,8,1330.0,6921,0.0,64.0,2013
119,954.0,FL,2812.0,1140.0,8,1693.0,14817,0.0,76.0,2013
120,325.0,HA,247.0,161.0,8,13.0,6408,2.0,2.0,2013
121,3774.0,MQ,8472.0,5470.0,8,5163.0,38711,3.0,1014.0,2013
122,3503.0,OO,10092.0,6969.0,8,5376.0,55378,18.0,313.0,2013
123,4949.0,UA,9625.0,4115.0,8,4740.0,44444,20.0,480.0,2013
124,3622.0,US,4625.0,2280.0,8,4367.0,35337,79.0,226.0,2013
125,426.0,VX,1073.0,455.0,8,541.0,5210,4.0,118.0,2013
126,16491.0,WN,27564.0,19242.0,8,10786.0,96559,114.0,928.0,2013
127,968.0,YV,2526.0,1564.0,8,1814.0,13020,19.0,41.0,2013
